Index,STATIONLINE,ENTRYCOUNT
350,KNICKERBOCKER_M,99562.0
279,EASTCHSTER/DYRE_5,99264.0
336,JAY ST-METROTEC_R,99139.0
194,BAY RIDGE AV_R,98459.0
35,155 ST_BD,97744.0
364,METROPOLITAN AV_M,97349.0
277,EAST 105 ST_L,97235.0
299,FT HAMILTON PKY_D,97119.0
99,4 AV-9 ST_DFGMNR,96763.0
53,18 AV_F,96589.0
154,85 ST-FOREST PK_J,96554.0
292,FOREST AVE_M,95880.0
466,WILSON AV_L,94115.0
80,25 ST_R,92247.0
397,PARK PLACE_23ACE,91605.0
271,DITMAS AV_F,91551.0
142,75 AV_EF,90829.0
379,NEREID AV_25,90740.0
30,145 ST_3,90332.0
129,65 ST_MR,89954.0
358,LONGWOOD AV_6,89842.0
229,BUHRE AV_6,89075.0
241,CENTRAL AV_M,88549.0
143,75 ST-ELDERTS_JZ,88505.0
230,BURKE AV_25,88274.0
329,INTERVALE AV_25,87291.0
69,219 ST_25,87274.0
246,CHAUNCEY ST_JZ,86825.0
392,NORWOOD AV_JZ,86602.0
429,SHEPHERD AV_C,86369.0
141,74 ST-BROADWAY_7EFMR,85878.0
395,OCEAN PKWY_Q,85770.0
179,AVENUE H_BQ,84119.0
453,VAN SICLEN AVE_C,84082.0
23,138/GRAND CONC_45,83781.0
255,CLEVELAND ST_J,83387.0
196,BAYCHESTER AV_5,82659.0
10,111 ST_J,82159.0
211,BEVERLEY ROAD_BQ,81326.0
454,VAN SICLEN AV_3,80973.0
357,LIVONIA AV_L,79036.0
98,39 AV_NQW,77479.0
190,BAY 50 ST_D,74545.0
455,VAN SICLEN AV_JZ,74488.0
356,LIBERTY AV_C,73629.0
115,50 ST_D,73306.0
36,155 ST_C,71661.0
321,HEWES ST_JM,71593.0
287,FLUSHING AV_G,70873.0
403,PATH WTC 2_1,70708.0
407,PELHAM PKWY_5,68556.0
226,BRONX PARK EAST_25,68205.0
161,88 ST_A,68124.0
183,AVENUE N_F,66582.0
427,SENECA AVE_M,66570.0
473,ZEREGA AV_6,65081.0
215,BOROUGH HALL_R2345,62912.0
169,ALABAMA AV_J,62803.0
202,BEACH 67 ST_A,62120.0
188,AVENUE X_F,60282.0
458,W 8 ST-AQUARIUM_FQ,60022.0
201,BEACH 60 ST_A,59331.0
184,AVENUE P_F,59036.0
9,111 ST_A,57624.0
186,AVENUE U_F,55170.0
370,MORRIS PARK_5,53678.0
54,18 AV_N,52599.0
366,MIDDLETOWN RD_6,51629.0
68,215 ST_1,51465.0
232,BUSHWICK AV_L,50873.0
198,BEACH 25 ST_A,50175.0
67,21 ST_G,48747.0
465,WHITLOCK AV_6,48613.0
118,55 ST_D,47208.0
398,PARK PLACE_S,46896.0
178,ATLANTIC AV_L,44632.0
216,BOTANIC GARDEN_S2345,43851.0
5,104 ST_A,43168.0
172,AQUEDUCT RACETR_A,43036.0
378,NEPTUNE AV_F,41817.0
180,AVENUE I_F,40960.0
6,104 ST_JZ,38221.0
301,FT HAMILTON PKY_N,36381.0
267,CYPRESS HILLS_J,35541.0
386,NEWARK HM HE_1,34809.0
187,AVENUE U_N,32563.0
345,KINGS HWY_N,29916.0
159,86 ST_N,29653.0
192,BAY PKWY_F,29126.0
199,BEACH 36 ST_A,24975.0
171,AQUEDUCT N.COND_A,24275.0
274,E 143/ST MARY'S_6,24067.0
64,20 AV_N,23151.0
15,121 ST_JZ,22379.0
447,TOMPKINSVILLE_1,21132.0
203,BEACH 90 ST_AS,20801.0
200,BEACH 44 ST_A,18240.0
424,ROCKAWAY PARK B_AS,16543.0
204,BEACH 98 ST_AS,12104.0
221,BROAD CHANNEL_AS,7103.0
197,BEACH 105 ST_AS,6232.0
